파일명,캐릭터,스테이지,일본어 대사,한국어 번역
hana_stage1_029,하나,Stage1 - 약속 정답,やった～！約束だよ！絶対破っちゃダメだからね？！,やった~! 약속이다! 절대 어기면 안 돼?!
hana_stage1_030,하나,Stage1 - 약속 오답,ええ...？嫌...？私とご飯食べるの...？,에엥...? 싫어...? 나랑 밥 먹는 거...?
hana_stage1_031,하나,Stage1 - 헤어짐,じゃあ私先に行くね！家まで気をつけて～,그럼 나 먼저 갈게! 집 조심해서 가~
hana_stage1_032,하나,Stage1 - 마지막 한마디,あ、でも最後に一つだけ～！,아 근데 마지막으로 한 가지만~!
hana_stage1_033,하나,Stage1 - 또 봐 정답,うんうん！またね～！明日絶対会おうね！待ってる！,응응! またね~! 내일 꼭 봐! 기다릴게!
hana_stage1_034,하나,Stage1 - 또 봐 오답,えへへ、別れる時は「またね」だよ！可愛く言ってみて～,에헤헤 헤어질 땐 "またね"야! 귀엽게 말해봐~
hana_stage1_035,하나,Stage1 - 비밀,あ、それと...！これは秘密なんだけど...,아 그리고...! 이건 비밀인데...
hana_stage1_036,하나,Stage1 - 설렘 고백,私...実は今朝から交換留学生来るって聞いてめっちゃドキドキしてたの...！,나... 사실 오늘 아침부터 교환학생 온다고 해서 엄청 설렜거든...!
hana_stage1_037,하나,Stage1 - 두근두근 정답,え？！知ってる？！そう、今もドキドキしてる...あなたのせいで...,어?! 알아?! 그래 지금도 ドキドキ해... 너 때문에...
hana_stage1_038,하나,Stage1 - 두근두근 오답,ドキドキは胸がドキドキするってこと！今私の心臓がそう...,ドキドキ는 두근두근이야! 지금 내 심장이 그래...
hana_stage1_039,하나,Stage1 - 창피해,うわあ、なんでこんなこと言っちゃったの～！恥ずかしい...！,으앙 왜 이런 말까지 해버린 거야~! 창피해...!
hana_stage1_040,하나,Stage1 - 좋아...,とにかく！明日ね！好き...ううん、またね！,아무튼! 내일 봐! 좋아... 아니 またね!
hana_stage1_041,하나,Stage1 - 들었어?!,~~~？！聞いてないよね？！何も聞いてないよね？！うわあん！,~~~?! 안 들었지?! 아무것도 안 들었지?! 으아앙!
hana_stage1_042,하나,Stage1 - 언젠간,えへへ...よかった知らないんだ...いつか教えてあげる...！,에헤헤... 다행이다 모르는구나... 언젠간 알려줄게...!
