파일명,캐릭터,스테이지,일본어 대사,한국어 번역
hinata_stage3_019,히나타,Stage3 - 경어 인정,...お、敬語も分かるの？意外と勉強してるじゃん。(少し認める),...오 경어도 알아? 의외로 공부 좀 했네. (살짝 인정)
hinata_stage3_020,히나타,Stage3 - 경어 설명,お客さんが来た時に使う挨拶。お店の基本だから。,손님 올 때 쓰는 인사야. 가게 기본이거든.
hinata_stage3_021,히나타,Stage3 - 휴식,...はあ、やっと休憩。(私の隣にドサッと座って),...하아 드디어 휴식. (내 옆에 털썩 앉으며)
hinata_stage3_022,히나타,Stage3 - 왜 봐,...何見てんの。他の席ないんだから。,...뭐야 왜 봐. 다른 자리 없거든.
hinata_stage3_023,히나타,Stage3 - 딴 뜻 없어,...た、ただ座っただけ。他意はない。(視線をそらす),...그 그냥 앉은 거야. 딴 뜻 없어. (시선 회피)
hinata_stage3_024,히나타,Stage3 - 타메구치,...分かるんだ。私タメ口使うから。嫌？,...알긴 아네. 나 반말 쓰거든. 불편해?
hinata_stage3_025,히나타,Stage3 - 타이 설명,他の意味ないってこと。...マジで。,다른 뜻 없다는 거야. ...진짜로.
hinata_stage3_026,히나타,Stage3 - 신기해,...ねえ。あんた、ちょっと不思議。,...있잖아. 너 좀 신기해.
hinata_stage3_027,히나타,Stage3 - 무서워,普通男子、私にあんま話しかけないんだよね。怖く見えるって。,보통 남자들 나한테 잘 말 안 걸거든. 무서워 보인다고.
hinata_stage3_028,히나타,Stage3 - 신경 쓰여,...でもあんたは違うね。ちょっと...気になる。(小さい声で),...근데 너는 다르네. 좀... 신경 쓰여. (작은 소리로)
hinata_stage3_029,히나타,Stage3 - 들었어,...っ？！き、聞こえた？！何でもないから？！,...ㅎ?! 들 들었어?! 아무것도 아니거든?!
hinata_stage3_030,히나타,Stage3 - 좋은 의미,気になるってこと...まあ、いい意味で。,신경 쓰인다는 거야... 뭐 좋은 의미로.
hinata_stage3_031,히나타,Stage3 - 고양이 사진,...あ、ちょっと。これ見て。(スマホを見せながら),...아 잠깐. 이거 봐. (핸드폰을 보여주며)
hinata_stage3_032,히나타,Stage3 - 고양이,...猫の写真。可愛くない？...何その目？！,...고양이 사진. 귀엽지 않아? ...뭐야 그 눈?!
hinata_stage3_033,히나타,Stage3 - 웃으면 죽여,笑ったら殺す。私が猫好きでもいいじゃん...！,웃으면 죽여. 나 고양이 좋아해도 되잖아...!
hinata_stage3_034,히나타,Stage3 - 천사,...！でしょ？！この猫マジ天使なんだから...！(目キラキラ),...! でしょ?! 이 고양이 진짜 天使거든...! (눈 반짝)
hinata_stage3_035,히나타,Stage3 - 귀엽다 설명,可愛いは「かわいい」だよ...この猫に使って。,귀엽다는 건 "かわいい"야... 이 고양이한테 써.
hinata_stage3_036,히나타,Stage3 - 휴식 끝,...はあ、休憩終わり。仕事しないと。,...하아 휴식 끝이다. 일해야 해.
hinata_stage3_037,히나타,Stage3 - 또 와,...ねえ。時間あったらまた来なよ。コーヒー一杯あげる。,...야. 시간 되면 또 와. 커피 한 잔 줄게.
hinata_stage3_038,히나타,Stage3 - 서비스,...サービスだよサービス。他の意味ないから？(顔赤くして),...서비스야 서비스. 다른 의미 없거든? (얼굴 붉히며)
hinata_stage3_039,히나타,Stage3 - 기다릴게,...っ、ふっ。そう、待って...いや待ってないから？！,...ㅎ 훗. 그래 기다릴... 아니 기다리는 거 아니거든?!
hinata_stage3_040,히나타,Stage3 - 또 온다,「また来る」がまた来るって意味。早く覚えろ、バカ。,...「また来る」가 또 올게야. 빨리 외워 바보.
hinata_stage3_041,히나타,Stage3 - 한 가지,...それと。一つだけ。,...그리고. 한 가지만 더.
hinata_stage3_042,히나타,Stage3 - 싫지 않아,私...あんたのこと嫌いじゃない。むしろ...(モゴモゴ),나... 너 싫지 않아. 오히려... (중얼중얼)
hinata_stage3_043,히나타,Stage3 - 안 들렸거든,~~~？！聞こえてないから？！何も聞いてないよね？！(顔隠して),~~~?! 안 들렸거든?! 아무것도 안 들었지?! (얼굴 숨기며)
hinata_stage3_044,히나타,Stage3 - 언젠간,...よかった、知らないんだ。いつか...ちゃんと言ってやる。,...다행이다 몰라. 언젠간... 똑바로 말해줄게.
hinata_stage3_045,히나타,Stage3 - 빨리 가,...早く行け、バカ！お店閉店だから！,...빨리 가 바보! 가게 폐점이거든!
