파일명,캐릭터,스테이지,일본어 대사,한국어 번역
misa키_stage2_017,미사키,Stage2 - 메뉴판,...あ、メニュー読めますか？カタカナが少しあるんですけど...,...아 메뉴판 읽을 수 있어요? 가타카나가 좀 있는데...
misaki_stage2_018,미사키,Stage2 - 가타카나 정답,...そうです。カタカナも読めるんですね。驚きました。,...맞아요. 가타카나도 읽으시는군요. 놀랐어요.
misaki_stage2_019,미사키,Stage2 - 가타카나 설명,カタカナは外来語によく使います。ケーキはケーキですよ。,가타카나는 외래어에 많이 써요. ケーキ는 케이크예요.
misaki_stage2_020,미사키,Stage2 - 친구 고백,...私、実は友達があまりいないんです。,...저 사실 친구가 별로 없어요.
misaki_stage2_021,미사키,Stage2 - 혼자 시간,本を読むのが好きで...一人でいる時間が多かったんです。,책 읽는 게 좋아서... 혼자 있는 시간이 많았거든요.
misaki_stage2_022,미사키,Stage2 - 편한 느낌,でもあなたとは...なんだか楽に話せるんです。,근데 당신이랑은... 왠지 편하게 얘기할 수 있어요.
misaki_stage2_023,미사키,Stage2 - 공감 반응,...本当ですか？じゃあ私たち...似てますね。(少し微笑む),...정말요? 그럼 우리... 비슷한 거네요. (살짝 미소)
misaki_stage2_024,미사키,Stage2 - 공감 표현,共感する時は「わたしもそうです」と言います。,공감할 때는 "わたしもそうです"라고 해요.
misaki_stage2_025,미사키,Stage2 - 시간 빠름,...もうこんな時間ですね。時間が早く過ぎました。,...벌써 이런 시간이네요. 시간이 빨리 갔어요.
misaki_stage2_026,미사키,Stage2 - 즐거웠어,あなたと一緒だったから...楽しかったです。,당신과 함께라서... 즐거웠어요.
misaki_stage2_027,미사키,Stage2 - 과거형 정답,...はい、私もです。久しぶりにこんなに楽しかったです。,...네 저도요. 오랜만에 이렇게 楽しかった어요.
misaki_stage2_028,미사키,Stage2 - 과거형 설명,「楽しい」の過去形は「楽しかった」ですよ。,"楽しい"의 과거형은 "楽しかった"예요.
misaki_stage2_029,미사키,Stage2 - 비밀 장소,...あの、時間大丈夫でしたら...見せたい場所があるんです。,...저기 시간 괜찮으시면... 보여드리고 싶은 곳이 있어요.
misaki_stage2_030,미사키,Stage2 - 비밀,私だけが知っている秘密の場所です。誰にも教えたことない...,저만 아는 비밀 장소예요. 아무에게도 알려준 적 없는...
misaki_stage2_031,미사키,Stage2 - 같이 가자,...！はい...行きましょう、一緒に。(手を少し握りながら),...! 네... 가요 같이. (손을 살짝 잡으며)
misaki_stage2_032,미사키,Stage2 - 거절 반응,...そうですか。また今度...,...그렇군요. 다음 기회에...
misaki_stage2_033,미사키,Stage2 - 언덕 풍경,...綺麗でしょう？ここから見る夕焼けが本当に好きなんです。,...예쁘죠? 여기서 보는 노을이 정말 좋아요.
misaki_stage2_034,미사키,Stage2 - 처음,初めて...誰かと一緒に見ますね、この景色。,처음으로... 누군가와 함께 보네요 이 풍경.
misaki_stage2_035,미사키,Stage2 - 예쁘다 반응,...え？わ、私...？(顔が赤くなって) ...ありがとうございます。,...에? 저 저요...? (얼굴이 빨개지며) ...감사합니다.
misaki_stage2_036,미사키,Stage2 - 예쁘다 설명,「きれい」は綺麗という意味ですよ...,"きれい"는 예쁘다는 뜻이에요...
misaki_stage2_037,미사키,Stage2 - 만날 수 있을까,...あのですね。私...これからもこうやって会えますか？,...있잖아요. 저... 앞으로도 이렇게 만날 수 있을까요?
misaki_stage2_038,미사키,Stage2 - 두근두근,あなたと一緒にいると...心臓が変にドキドキするんです。,당신과 함께 있으면... 심장이 이상하게 뛰어요.
misaki_stage2_039,미사키,Stage2 - 약속,...はい。約束です。必ず...また会いましょう。,...네. 약속이에요. 꼭... 또 만나요.
misaki_stage2_040,미사키,Stage2 - 아쉬움,...そうですか。残念ですね...,...그렇군요. 아쉽네요...
misaki_stage2_041,미사키,Stage2 - 행복,...今日、本当に幸せでした。,...오늘 정말 행복했어요.
misaki_stage2_042,미사키,Stage2 - 가장 좋은 일,あなたに会えたこと...私の人生で一番いいことかもしれません。,당신을 만난 건... 제 인생에서 가장 좋은 일인 것 같아요.
misaki_stage2_043,미사키,Stage2 - 들렸나요,...聞こえました？...まだ、まだ言ってないのに...(真っ赤になって),...들렸나요? ...아직 아직 말 안 했는데... (새빨개지며)
misaki_stage2_044,미사키,Stage2 - 언젠가,...よかった、聞こえなかったんですね。いつか...必ず言います。,...다행이에요 안 들렸군요. 언젠가... 꼭 말할게요.
